hx = 0.125, hy = 0.35, a = 0.333, w = 0.65, freqs = [188.49117077 229.79658493], gamma = 0.079
hx = 0.15, hy = 0.275, a = 0.334, w = 0.65, freqs = [188.47769352 230.2014217 ], gamma = 0.07948
hx = 0.15, hy = 0.3, a = 0.334, w = 0.65, freqs = [188.91330704 233.4196503 ], gamma = 0.08029
hx = 0.15, hy = 0.325, a = 0.334, w = 0.65, freqs = [189.41187447 236.68994573], gamma = 0.08037
hx = 0.15, hy = 0.275, a = 0.335, w = 0.65, freqs = [188.08718073 229.66561201], gamma = 0.08085
hx = 0.15, hy = 0.3, a = 0.335, w = 0.65, freqs = [188.5222355  232.86438608], gamma = 0.08183
hx = 0.15, hy = 0.325, a = 0.335, w = 0.65, freqs = [189.02070825 236.10328764], gamma = 0.08206
hx = 0.15, hy = 0.275, a = 0.336, w = 0.65, freqs = [187.69748016 229.12838501], gamma = 0.08216
hx = 0.15, hy = 0.3, a = 0.336, w = 0.65, freqs = [188.13139378 232.30305107], gamma = 0.08328
hx = 0.15, hy = 0.325, a = 0.336, w = 0.65, freqs = [188.63051196 235.51567418], gamma = 0.08367
hx = 0.15, hy = 0.3, a = 0.337, w = 0.65, freqs = [187.76005657 231.87759046], gamma = 0.08471
hx = 0.15, hy = 0.325, a = 0.337, w = 0.65, freqs = [188.25838228 235.04929685], gamma = 0.08522
hx = 0.15, hy = 0.3, a = 0.338, w = 0.65, freqs = [187.37068891 231.30585514], gamma = 0.08601
hx = 0.15, hy = 0.325, a = 0.338, w = 0.65, freqs = [187.86705196 234.43307862], gamma = 0.08666
hx = 0.15, hy = 0.3, a = 0.339, w = 0.65, freqs = [186.98763236 230.65112668], gamma = 0.08713
hx = 0.15, hy = 0.325, a = 0.339, w = 0.65, freqs = [187.49261042 233.82010055], gamma = 0.08795
hx = 0.15, hy = 0.35, a = 0.339, w = 0.65, freqs = [188.04578404 236.98515329], gamma = 0.08807
hx = 0.15, hy = 0.3, a = 0.34, w = 0.65, freqs = [186.63205655 230.12706399], gamma = 0.0882
hx = 0.15, hy = 0.325, a = 0.34, w = 0.65, freqs = [187.13323173 233.22477849], gamma = 0.08912
hx = 0.15, hy = 0.35, a = 0.34, w = 0.65, freqs = [187.6877871  236.40552362], gamma = 0.08941
hx = 0.15, hy = 0.325, a = 0.341, w = 0.65, freqs = [186.76350335 232.58421302], gamma = 0.09023
hx = 0.15, hy = 0.35, a = 0.341, w = 0.65, freqs = [187.32246675 235.79693448], gamma = 0.0907
hx = 0.15, hy = 0.325, a = 0.342, w = 0.65, freqs = [186.40883995 232.04677556], gamma = 0.09132
hx = 0.15, hy = 0.35, a = 0.342, w = 0.65, freqs = [186.95818834 235.17018445], gamma = 0.09191
